#group,name,redirector,dataset,nevts,xsec
data,SingleElectron_Run2016Bv1_preVFP,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,1422819,1
data,SingleElectron_Run2016Bv2_preVFP,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,246440440,1
data,SingleElectron_Run2016C_preVFP,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,97259854,1
data,SingleElectron_Run2016D_preVFP,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,148167727,1
data,SingleElectron_Run2016E_preVFP,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,117269446,1
data,SingleElectron_Run2016Fv2_preVFP,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,61735326,1
data,SingleMuon_Run2016Bv2_preVFP,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016B-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,67441308,1
data,SingleMuon_Run2016C_preVFP,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,67441308,1
data,SingleMuon_Run2016D_preVFP,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,98017996,1
data,SingleMuon_Run2016E_preVFP,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,90984718,1
data,SingleMuon_Run2016Fv2_preVFP,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,57465359,1
