#group,name,redirector,dataset,nevts,xsec
data,SingleElectron_Run2017B,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2017B-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,60537490,1
data,SingleElectron_Run2017C,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2017C-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,136637888,1
data,SingleElectron_Run2017D,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2017D-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,51512837,1
data,SingleElectron_Run2017E,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2017E-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,102122055,1
data,SingleElectron_Run2017F,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2017F-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,128467223,1
data,SingleMuon_Run2017B,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2017B-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,136300266,1
data,SingleMuon_Run2017C,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2017C-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,165652756,1
data,SingleMuon_Run2017D,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2017D-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,70361660,1
data,SingleMuon_Run2017E,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2017E-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,154618774,1
data,SingleMuon_Run2017F,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2017F-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,242140980,1
