#group,name,redirector,dataset,nevts,xsec
signal,GluGluToAToZhToLLTauTauM1000,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M1000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,498520,0.001
signal,GluGluToAToZhToLLTauTauM1200,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M1200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,485394,0.001
signal,GluGluToAToZhToLLTauTauM1400,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M1400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,446940,0.001
signal,GluGluToAToZhToLLTauTauM1800,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M1800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,467275,0.001
signal,GluGluToAToZhToLLTauTauM2000,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M2000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,442213,0.001
signal,GluGluToAToZhToLLTauTauM225,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M225_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,521597,0.001
signal,GluGluToAToZhToLLTauTauM250,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M250_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,511059,0.001
signal,GluGluToAToZhToLLTauTauM275,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M275_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,506263,0.001
signal,GluGluToAToZhToLLTauTauM300,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M300_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,486494,0.001
signal,GluGluToAToZhToLLTauTauM325,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M325_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,480154,0.001
signal,GluGluToAToZhToLLTauTauM350,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M350_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,540030,0.001
signal,GluGluToAToZhToLLTauTauM375,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M375_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,459328,0.001
signal,GluGluToAToZhToLLTauTauM400,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,565890,0.001
signal,GluGluToAToZhToLLTauTauM450,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M450_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,457323,0.001
signal,GluGluToAToZhToLLTauTauM500,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,445826,0.001
signal,GluGluToAToZhToLLTauTauM600,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,444572,0.001
signal,GluGluToAToZhToLLTauTauM700,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M700_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,425923,0.001
signal,GluGluToAToZhToLLTauTauM750,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M750_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,478156,0.001
signal,GluGluToAToZhToLLTauTauM800,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,479350,0.001
signal,GluGluToAToZhToLLTauTauM900,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M900_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,479538,0.001
signal,BBAToZhToLLTauTauM1000,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M1000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM1200,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M1200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM1400,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M1400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM1600,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M1600_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM1800,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M1800_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,494000,0.001
signal,BBAToZhToLLTauTauM2000,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M2000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,485000,0.001
signal,BBAToZhToLLTauTauM225,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M225_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,498000,0.001
signal,BBAToZhToLLTauTauM275,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M275_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,497000,0.001
signal,BBAToZhToLLTauTauM300,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M300_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM325,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M325_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM350,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M350_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM375,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M375_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM400,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,497000,0.001
signal,BBAToZhToLLTauTauM450,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M450_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,494000,0.001
signal,BBAToZhToLLTauTauM500,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M500_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM600,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M600_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,498000,0.001
signal,BBAToZhToLLTauTauM700,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M700_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM800,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M800_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,496000,0.001
signal,BBAToZhToLLTauTauM900,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M900_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,493000,0.001
